rtTitle,yr,rgDesc,cmdDescE,cmdCode
Oman,2019,Export,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",58
Oman,2019,Export,"Feathers and down, prepared; and articles made of feather or of down; artificial flowers; articles of human hair",67
Oman,2019,Export,Fertilizers,31
Oman,2019,Export,"Fish and crustaceans, molluscs and other aquatic invertebrates",3
Oman,2019,Export,"Food industries, residues and wastes thereof; prepared animal fodder",23
Oman,2019,Export,Footwear; gaiters and the like; parts of such articles,64
Oman,2019,Export,"Fruit and nuts, edible; peel of citrus fruit or melons",8
Oman,2019,Export,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.c.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",94
Oman,2019,Export,Furskins and artificial fur; manufactures thereof,43
Oman,2019,Export,Glass and glassware,70
Oman,2019,Export,Headgear and parts thereof,65
Oman,2019,Export,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",28
Oman,2019,Export,Iron and steel,72
Oman,2019,Export,Iron or steel articles,73
Oman,2019,Export,"Lac; gums, resins and other vegetable saps and extracts",13
Oman,2019,Export,Lead and articles thereof,78
Oman,2019,Export,Man-made filaments; strip and the like of man-made textile materials,54
Oman,2019,Export,Man-made staple fibres,55
Oman,2019,Export,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",46
Oman,2019,Export,Meat and edible meat offal,2
Oman,2019,Export,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",16
Oman,2019,Export,Metal; miscellaneous products of base metal,83
Oman,2019,Export,"Metals; n.e.c., cermets and articles thereof",81
Oman,2019,Export,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",27
Oman,2019,Export,Miscellaneous edible preparations,21
Oman,2019,Export,Miscellaneous manufactured articles,96
Oman,2019,Export,Musical instruments; parts and accessories of such articles,92
Oman,2019,Export,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",71
Oman,2019,Export,Nickel and articles thereof,75
Oman,2019,Export,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",84
Oman,2019,Export,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",12
Oman,2019,Export,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",90
Oman,2019,Export,"Ores, slag and ash",26
Oman,2019,Export,Organic chemicals,29
Oman,2019,Export,"Paper and paperboard; articles of paper pulp, of paper or paperboard",48
Oman,2019,Export,Pharmaceutical products,30
Oman,2019,Export,Photographic or cinematographic goods,37
Oman,2019,Export,Plastics and articles thereof,39
Oman,2019,Export,"Preparations of cereals, flour, starch or milk; pastrycooks' products",19
Oman,2019,Export,"Preparations of vegetables, fruit, nuts or other parts of plants",20
Oman,2019,Export,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",49
Oman,2019,Export,"Products of the milling industry; malt, starches, inulin, wheat gluten",11
Oman,2019,Export,Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard,47
Oman,2019,Export,"Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",86
Oman,2019,Export,Raw hides and skins (other than furskins) and leather,41
Oman,2019,Export,Rubber and articles thereof,40
Oman,2019,Export,"Salt; sulphur; earths, stone; plastering materials, lime and cement",25
Oman,2019,Export,"Ships, boats and floating structures",89
Oman,2019,Export,Silk,50
Oman,2019,Export,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",34
Oman,2019,Export,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",68
Oman,2019,Export,Sugars and sugar confectionery,17
Oman,2019,Export,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",32
Oman,2019,Export,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",59
Oman,2019,Export,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",63
Oman,2019,Export,Tin; articles thereof,80
Oman,2019,Export,Tobacco and manufactured tobacco substitutes,24
Oman,2019,Export,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",82
Oman,2019,Export,"Toys, games and sports requisites; parts and accessories thereof",95
Oman,2019,Export,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",6
Oman,2019,Export,"Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops; and parts thereof",66
Oman,2019,Export,Vegetable plaiting materials; vegetable products not elsewhere specified or included,14
Oman,2019,Export,Vegetable textile fibres; paper yarn and woven fabrics of paper yarn,53
Oman,2019,Export,Vegetables and certain roots and tubers; edible,7
Oman,2019,Export,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",87
Oman,2019,Export,"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",56
Oman,2019,Export,Wood and articles of wood; wood charcoal,44
Oman,2019,Export,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",51
Oman,2019,Export,Works of art; collectors' pieces and antiques,97
Oman,2019,Export,Zinc and articles thereof,79
Oman,2019,Import,"Aircraft, spacecraft and parts thereof",88
Oman,2019,Import,Albuminoidal substances; modified starches; glues; enzymes,35
Oman,2019,Import,Aluminium and articles thereof,76
Oman,2019,Import,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,15
Oman,2019,Import,Animal originated products; not elsewhere specified or included,5
Oman,2019,Import,Animals; live,1
Oman,2019,Import,Apparel and clothing accessories; knitted or crocheted,61
Oman,2019,Import,Apparel and clothing accessories; not knitted or crocheted,62
Oman,2019,Import,Arms and ammunition; parts and accessories thereof,93
Oman,2019,Import,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",42
Oman,2019,Import,"Beverages, spirits and vinegar",22
Oman,2019,Import,Carpets and other textile floor coverings,57
Oman,2019,Import,Ceramic products,69
Oman,2019,Import,Cereals,10
Oman,2019,Import,Chemical products n.e.c.,38
Oman,2019,Import,Clocks and watches and parts thereof,91
Oman,2019,Import,Cocoa and cocoa preparations,18
Oman,2019,Import,"Coffee, tea, mate and spices",9
Oman,2019,Import,Commodities not specified according to kind,99
Oman,2019,Import,Copper and articles thereof,74
Oman,2019,Import,Cork and articles of cork,45
Oman,2019,Import,Cotton,52
Oman,2019,Import,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",4
Oman,2019,Import,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",85
Oman,2019,Import,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",33
Oman,2019,Import,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,36
Oman,2019,Import,Fabrics; knitted or crocheted,60
Oman,2019,Import,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",58
Oman,2019,Import,"Feathers and down, prepared; and articles made of feather or of down; artificial flowers; articles of human hair",67
Oman,2019,Import,Fertilizers,31
Oman,2019,Import,"Fish and crustaceans, molluscs and other aquatic invertebrates",3
Oman,2019,Import,"Food industries, residues and wastes thereof; prepared animal fodder",23
Oman,2019,Import,Footwear; gaiters and the like; parts of such articles,64
Oman,2019,Import,"Fruit and nuts, edible; peel of citrus fruit or melons",8
Oman,2019,Import,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.c.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",94
Oman,2019,Import,Furskins and artificial fur; manufactures thereof,43
Oman,2019,Import,Glass and glassware,70
Oman,2019,Import,Headgear and parts thereof,65
Oman,2019,Import,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",28
Oman,2019,Import,Iron and steel,72
Oman,2019,Import,Iron or steel articles,73
Oman,2019,Import,"Lac; gums, resins and other vegetable saps and extracts",13
Oman,2019,Import,Lead and articles thereof,78
Oman,2019,Import,Man-made filaments; strip and the like of man-made textile materials,54
Oman,2019,Import,Man-made staple fibres,55
Oman,2019,Import,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",46
Oman,2019,Import,Meat and edible meat offal,2
Oman,2019,Import,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",16
Oman,2019,Import,Metal; miscellaneous products of base metal,83
Oman,2019,Import,"Metals; n.e.c., cermets and articles thereof",81
Oman,2019,Import,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",27
Oman,2019,Import,Miscellaneous edible preparations,21
Oman,2019,Import,Miscellaneous manufactured articles,96
Oman,2019,Import,Musical instruments; parts and accessories of such articles,92
Oman,2019,Import,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",71
Oman,2019,Import,Nickel and articles thereof,75
Oman,2019,Import,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",84
Oman,2019,Import,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",12
Oman,2019,Import,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",90
Oman,2019,Import,"Ores, slag and ash",26
Oman,2019,Import,Organic chemicals,29
Oman,2019,Import,"Paper and paperboard; articles of paper pulp, of paper or paperboard",48
Oman,2019,Import,Pharmaceutical products,30
Oman,2019,Import,Photographic or cinematographic goods,37
Oman,2019,Import,Plastics and articles thereof,39
Oman,2019,Import,"Preparations of cereals, flour, starch or milk; pastrycooks' products",19
Oman,2019,Import,"Preparations of vegetables, fruit, nuts or other parts of plants",20
Oman,2019,Import,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",49
Oman,2019,Import,"Products of the milling industry; malt, starches, inulin, wheat gluten",11
Oman,2019,Import,Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard,47
Oman,2019,Import,"Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",86
Oman,2019,Import,Raw hides and skins (other than furskins) and leather,41
Oman,2019,Import,Rubber and articles thereof,40
Oman,2019,Import,"Salt; sulphur; earths, stone; plastering materials, lime and cement",25
Oman,2019,Import,"Ships, boats and floating structures",89
Oman,2019,Import,Silk,50
Oman,2019,Import,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",34
Oman,2019,Import,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",68
Oman,2019,Import,Sugars and sugar confectionery,17
Oman,2019,Import,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",32
Oman,2019,Import,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",59
